Ref,Title,FName,MName,LName,BDate,DDate,Male,Silent,CharTypeID,KnownAs,Comments,CDate,UDate,CName,UName
22,,Philippa,Rose,Archer,02/17/93 00:00:00,,0,0,,Pip,,02/09/1999 00:00,03/26/04 17:36:01,DataEase,fishec50
23,,Thomas,,Archer,02/25/81 00:00:00,,1,0,,Tommy / Tom,,02/09/1999 00:00,08/08/2008 10:06,DataEase,fishec50
24,1,Tony,W.D.,Archer,02/16/51 00:00:00,,1,0,,Tony,Tony and Pat Archer married 12.12.74,02/09/1999 00:00,12/04/2001 11:02,DataEase,fishec50
25,,Avril,,The Deli Owner,,,0,0,,Avril,,02/09/1999 00:00,04/26/12 16:07:51,DataEase,fishec50
26,,Asty,,The Interior Designer,,,1,1,,Asty, Interior Designer from Minnesota.,02/09/1999 00:00,04/26/12 17:01:29,DataEase,fishec50
27,,Baggy,,the Layabout,,,1,1,,Baggy,,02/09/1999 00:00,04/26/12 14:48:14,DataEase,fishec50
28,2,Christine,,Barford,12/21/31 00:00:00,,0,0,,Chris or Christine,Married George on 1.3.79,02/09/1999 00:00,07/10/2001 14:58,DataEase,fishec50
29,1,George,Randal,Barford,10/24/28 00:00:00,01/17/05 00:00:00,1,0,,George / Mr Barford,Christine and George Barford married   1.3.79,02/09/1999 00:00,02/25/05 16:15:09,DataEase,fishec50
30,1,Terry,,Barford,06/18/60 00:00:00,,1,0,,Terry,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
31,3,Sophie,,Barlow,,,0,0,,,Sophie was born in 1962,02/09/1999 00:00,07/11/2006 14:49,DataEase,fishec50
32,10,Dave,,Barry,,,1,0,,Dave or D.S. Barry,Dave was born in 1945,02/09/1999 00:00,04/15/99 09:54:55,DataEase,fishec50
33,2,Lilian,,Bellamy,07/08/1947 00:00,,0,0,,Lilian,Lilian marries Ralph Bellamy 1971,02/09/1999 00:00,11/30/05 12:41:54,DataEase,fishec50
35,1,Tim,,Beecham,,,1,1,,Tim,Tim was born in 1968,02/09/1999 00:00,04/15/99 11:08:02,DataEase,fishec50
36,1,James,Rodney Dominic,Bellamy,03/30/73 00:00:00,,1,0,,Jay,,02/09/1999 00:00,05/12/2011 16:03,DataEase,fishec50
38,2,Mandy,,Beesborough,,,0,1,,Mandy,Mandy was born in 1953. They live in Loxley Barratt,02/09/1999 00:00,12/21/01 15:03:06,DataEase,fishec50
39,1,Jonathan,,Bentley-Jones,,,1,1,,Bentley-Jones,1992,02/09/1999 00:00,04/07/2008 17:15,DataEase,fishec50
40,1,,,Barton,,,1,1,,,Retired Solicitor,02/09/1999 00:00,07/05/2005 10:44,DataEase,fishec50
41,2,,,Barton,,,0,1,,,Retired Solicitor's wife Lives in Glebelands,02/09/1999 00:00,07/05/2005 10:44,DataEase,fishec50
43,1,Norman,,Bates,,,1,1,,,Brian's chauffeur,02/09/1999 00:00,07/05/2005 10:45,DataEase,fishec50
44,1,Russell,,Blower,,,1,1,,,One of the tractor drivers at Home Farm 1990,02/09/1999 00:00,11/13/07 11:01:07,DataEase,fishec50
45,,Caroline,Joanna,Sterling,04/03/1955 00:00,,0,0,,Caroline,"married Guy on 11 September 1995.
Married Oliver 29/6/06",02/09/1999 00:00,08/23/06 15:23:16,DataEase,fishec50
47,1,Jean-Paul,,Aubert,,,1,0,,Jean-Paul,Jean-Paul was born in 1951,02/09/1999 00:00,03/30/99 16:10:14,DataEase,fishec50
48,1,Jack,,Woolley,07/19/19 00:00:00,,1,0,,Jack or Mr Woolley,"A self-made Brummie businessman.  Jack and Peggy Woolley married  1.1.91.
Jack's name is John",02/09/1999 00:00,10/23/06 14:48:38,DataEase,fishec50
49,2,Peggy,Beryl,Woolley,11/13/24 00:00:00,,0,0,,,"During the second world war Jack Archer met a pretty young ATS girl called Peggy Perkins whom he went on to marry in 1943
Peggy's name is Margaret Beryl",02/09/1999 00:00,01/18/13 12:37:41,DataEase,fishec50
50,,Christopher,John,Carter,06/22/88 00:00:00,,1,0,,,Alice married Christopher 28/7/10,02/09/1999 00:00,04/09/2013 17:31,DataEase,fishec50
51,3,Emma,Louise,Grundy,08/07/1984 00:00,,0,0,,Em,William and Emma married on 27/8/04,02/09/1999 00:00,03/30/05 15:17:35,DataEase,fishec50
52,1,Neil,,Carter,05/22/57 00:00:00,,1,0,,Neil,Neil and Susan Carter married 25.2.84,02/09/1999 00:00,12/04/2001 11:55,DataEase,fishec50
53,,Susan,,Carter,10/10/1963 00:00,,0,0,,,Neil and Susan Carter married 25.2.84,02/09/1999 00:00,03/10/2009 13:08,DataEase,fishec50
54,1,Graham,,Collard,,,1,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
55,2,Prue,,Forrest,07/27/21 00:00:00,11/11/1998 00:00,0,0,,,Tom Forrest married Prue Harris on 26/9/58,02/09/1999 00:00,03/30/11 17:29:00,DataEase,fishec50
56,2,Audrey,,Crowther,,,0,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
57,1,Snatch,,Foster,,,1,1,,,,02/09/1999 00:00,05/04/2006 15:08,DataEase,fishec50
58,1,Tom,William,Forrest,10/20/10 00:00:00,11/05/1998 00:00,1,0,,,Brother to Doris Archer - married Prue Harris on 26/9/58,02/09/1999 00:00,09/09/2008 11:23,DataEase,fishec50
59,1,Bert,Nathaniel,Fry,,,1,0,,,Bert was born in 1936 his birthday is a single date - ie between 1 and 9. Married Freda in 1956,02/09/1999 00:00,08/28/13 15:46:45,DataEase,fishec50
60,1,Cameron,,Fraser,10/31/54 00:00:00,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
61,2,Freda,,Fry,,,0,1,,,Freda's birthday is a single date - ie between 1 and 9. Married Bert in 1956 so she must have been born before 1940 - Bert was born in 1936 - married at 20.,02/09/1999 00:00,06/11/2013 11:31,DataEase,fishec50
62,2,Alison,,Fry,,,0,1,,,,02/09/1999 00:00,04/15/99 12:25:29,DataEase,fishec50
63,1,Gavin,,Fry,,,1,1,,,,02/09/1999 00:00,04/15/99 12:25:06,DataEase,fishec50
64,1,Nelson,,Gabriel,,03/16/01 00:00:00,1,0,,,"Nelson was born in 1933. No birthday given therefore 1/1/33
News of Nelson's death arrives in the village on 18th March 2001 - but we don't know the date - guess two days before",02/09/1999 00:00,08/28/01 10:13:54,DataEase,fishec50
65,,Simon,,Gerrard,,,1,0,,,Debbie and Simon Gerrard married 12.5.00,02/09/1999 00:00,04/10/2007 12:40,DataEase,fishec50
66,1,,,Garner,,,1,1,,,,02/09/1999 00:00,04/15/99 12:29:00,DataEase,fishec50
67,1,Jim,,Gascoine,,,1,1,,,,02/09/1999 00:00,04/15/99 12:29:43,DataEase,fishec50
68,11,Mercedes,,Goodman,,,0,1,,,She met Sidney due to the Spanish Civil War - so she must have been over 10 in 1930s,02/09/1999 00:00,12/18/07 14:41:55,DataEase,fishec50
69,8,Sidney,,Goodman,,01/05/2007 00:00,1,0,,,Born in about 1918. Knighted for his services to industry. He owns the Borchester Canning Factory and another one in Spain. His wife Mercedes is Spanish. Sir Sidney fought in the Spanish Civil War on the side of Franco.,02/09/1999 00:00,02/21/07 15:50:56,DataEase,fishec50
70,1,Gerry,,Goodway,,,1,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
72,1,Ivan,,Greenwood,,,1,1,,,,02/09/1999 00:00,04/15/99 14:28:09,DataEase,fishec50
73,4,Elaine,,Griffiths,,,0,1,,,,02/09/1999 00:00,04/15/99 14:28:56,DataEase,fishec50
74,,Selina,,Green,,,0,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
75,1,Alfred,George,Grundy,11/13/44 00:00:00,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
76,2,Clarrie,,Grundy,05/12/1954 00:00,,0,0,,"Clarrie's real name is ""Clarice"" see ep 7944",Eddie and Clarrie Grundy married 21.11.81,02/09/1999 00:00,09/30/11 15:25:21,DataEase,fishec50
77,1,Eddie,George,Grundy,03/15/51 00:00:00,,1,0,,Eddie,Eddie and Clarrie Grundy married 21.11.81,02/09/1999 00:00,12/04/2001 11:08,DataEase,fishec50
78,,Edward,,Grundy,09/28/84 00:00:00,,1,0,,Ed,Edward Grundy born 28/9/1984 in Great Yarmouth,02/09/1999 00:00,09/14/12 16:25:49,DataEase,fishec50
79,1,Joe,,Grundy,09/18/21 00:00:00,,1,0,,,His name is Joseph but always called Joe,02/09/1999 00:00,04/21/08 12:11:07,DataEase,fishec50
80,1,William,Edward,Grundy,02/09/1983 00:00,,1,0,,,"Married Emma Carter 27/8/04 - decree absolute 12/4/06.
Married Nic Hanson 1/1/12",02/09/1999 00:00,01/09/2012 14:58,DataEase,fishec50
81,4,Usha,,Franks,06/17/62 00:00:00,,0,0,,Mrs Franks,"Hindu wedding to Alan 27/8/08
Christian wedding 29/8/08 - Usha's name is Gupta at work and Franks in the village",02/09/1999 00:00,01/09/2009 15:36,DataEase,fishec50
82,4,Sandra,,Haimes,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
83,1,Charles,,Harvey,,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
84,2,Jean,,Harvey,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
85,,,,Heatons,,,0,1,,,,02/09/1999 00:00,04/15/99 14:35:04,DataEase,fishec50
87,2,Bunty,,Hebden,02/20/22 00:00:00,02/14/13 00:00:00,0,0,,real name Audrey,,02/09/1999 00:00,03/04/2013 15:29,DataEase,fishec50
88,3,Joanna,,Hebden,,,0,1,,,Mark's sister,02/09/1999 00:00,09/12/2013 10:47,DataEase,fishec50
89,1,Mark,Charles Timothy,Hebden,02/20/55 00:00:00,02/17/94 00:00:00,1,0,,,Shula married Mark 21/9/85,02/09/1999 00:00,04/19/12 09:43:09,DataEase,fishec50
90,2,Shula,Mary,Hebden Lloyd,08/08/1958 00:00,,0,0,,Shula,"1st born twin child of Jill and Phil -  			1963 - 1969 Village School 			1969 - 1974 Borchester Grammar 
Shula married Mark 21/9/85  married  Alistair  24.12.98",02/09/1999 00:00,02/14/13 14:39:22,DataEase,fishec50
91,1,Ernie,,Hebditch,,,1,1,,,,02/09/1999 00:00,04/15/99 14:39:48,DataEase,fishec50
92,1,John,,Higgs,,,1,1,,Higgs,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
93,1,Terry,,Hodge,,,1,1,,Terry Hodge,Terry Hodge a member of Hassett Hills,02/09/1999 00:00,04/10/2007 12:30,DataEase,fishec50
94,1,Steve,,Holland,,,1,0,,Steve,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
95,,Holly,,The girlfriend of John,,,0,1,,Holly,Holly was born in 1975 - John's girlfriend,02/09/1999 00:00,04/26/12 14:43:25,DataEase,fishec50
96,21,Cyril,T.,Hood,,,1,0,,Cyril of Felpersham,Bishop in 1982,02/09/1999 00:00,11/25/05 12:10:20,DataEase,fishec50
97,,Clive,,Horrobin,11/09/1972 00:00,,1,0,,,,02/09/1999 00:00,11/29/11 15:33:41,DataEase,fishec50
98,,Ivy,,Horrobin,,10/31/11 00:00:00,0,0,,Mrs Horrobin,,02/09/1999 00:00,11/29/11 15:33:45,DataEase,fishec50
99,,Bert,,Horrobin,,,1,0,,Bert,,02/09/1999 00:00,11/29/11 15:33:53,DataEase,fishec50
100,,Stewart,,Horrobin,08/01/1965 00:00,,1,1,,,,02/09/1999 00:00,11/29/11 15:33:49,DataEase,fishec50
101,,Gary,,Horrobin,07/15/74 00:00:00,,1,1,,Gary,,02/09/1999 00:00,11/29/11 15:33:58,DataEase,fishec50
102,,Tracy,,Horrobin,07/16/75 00:00:00,,0,0,,,,02/09/1999 00:00,01/10/2012 15:53,DataEase,fishec50
103,,Keith,,Horrobin,12/01/1964 00:00,,1,1,,Keith,,02/09/1999 00:00,05/21/10 12:12:44,DataEase,fishec50
104,1,Cyril,,Hubbocks,,,1,1,,Cyril,,02/09/1999 00:00,04/15/99 14:48:13,DataEase,fishec50
105,,Peter,,Johnson,09/05/1965 00:00,,1,1,,Peter,,02/09/1999 00:00,08/10/2004 17:30,DataEase,fishec50
106,,Jason,,the builder,,,1,0,,,,02/09/1999 00:00,04/26/12 14:41:36,DataEase,fishec50
107,3,,,Jackson,,,0,0,,Miss Jackson,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
108,1,Jim,,Knight,,,1,1,,Jim,,02/09/1999 00:00,04/15/99 14:51:12,DataEase,fishec50
109,2,Rosie,,Mabbott,09/14/51 00:00:00,,0,1,,Rosie,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
110,2,Olwen,,Lewis,,,0,1,,,,02/09/1999 00:00,04/15/99 14:59:05,DataEase,fishec50
111,5,Richard,,Locke,01/25/63 00:00:00,,1,0,,Richard,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
112,1,Martin,,Lambert,,,1,0,,Martin,Martin was born in 1955,02/09/1999 00:00,04/15/99 09:59:29,DataEase,fishec50
113,1,Ewan,,Llewellyn,,,1,0,,Ewan,Pat's uncle,02/09/1999 00:00,10/01/2010 12:06,DataEase,fishec50
114,2,Gwynneth,,Llewellyn,,,0,0,,Aunt Gwynneth,Pat's aunt,02/09/1999 00:00,10/01/2010 12:07,DataEase,fishec50
115,1,,,Maiden,,,1,1,,Maiden,,02/09/1999 00:00,04/15/99 15:00:20,DataEase,fishec50
116,1,,,Martindale's,,,1,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
117,3,Maxine,,The Mohican,,,0,0,,Maxine The Mohican,,02/09/1999 00:00,02/08/2000 10:17,DataEase,fishec50
118,9,Adrian,,Netherbourne,,,1,1,,Lord Netherbourne,,02/09/1999 00:00,09/12/2003 15:41,DataEase,fishec50
119,2,Julia,Mary,Pargetter Carmichael,08/17/24 00:00:00,11/07/2005 00:00,0,0,,real name Joan,"Julia married Lewis 26 May 2005.
Actress died in 2005",02/09/1999 00:00,05/19/06 16:41:49,DataEase,fishec50
120,,Sam,,Peters,,,1,0,,Sam,,02/09/1999 00:00,04/10/2007 12:41,DataEase,fishec50
121,,Charles,,Palmer,,,1,1,,,,02/09/1999 00:00,03/21/01 12:29:54,DataEase,fishec50
122,,Simon,,Parker,,,1,0,,,Simon was born in 1945,02/09/1999 00:00,04/10/2007 12:39,DataEase,fishec50
123,1,Bill,,Knowles,,,1,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
124,,,,Partridge Twins,,,1,1,,Partridge 1 and 2,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
125,1,Conn,,Kortchmar,,,1,0,,Conn,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
126,1,Nigel,Gerald,Pargetter,06/08/1959 00:00,01/02/2011 00:00,1,0,,Nigel,Nigel used to play rugby at school. - Nigel and Elizabeth Pargetter married  29.9.94,02/09/1999 00:00,02/15/11 17:34:56,DataEase,fishec50
127,2,Kathy,,Perks,01/30/53 00:00:00,,0,0,,Kathy,"Sid and Kathy Perks 				24.4.87",02/09/1999 00:00,11/06/2007 15:26,DataEase,fishec50
128,,Sid,,Perks,06/09/1944 00:00,06/08/2010 00:00,1,0,,Sid,"Sid and Polly were married on 27.6.66 Polly died in Feb '82.
Sid and Kathy were married on 24.4.87 divorced in January 2001. 
Sid and Jolene were married on 4.7.02.",02/09/1999 00:00,09/01/2010 11:51,DataEase,fishec50
129,3,Lucy,Judith,Gemmell,12/12/1971 00:00,,0,0,,Lucy,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
130,1,Guy,Charles,Pemberton,,04/12/1996 00:00,1,0,,,Guy was born in 1931  - married Caroline on 11 September 1995,02/09/1999 00:00,01/16/04 15:27:46,DataEase,fishec50
131,2,Myra,,Prestwick,,,0,0,,Nickname `Mimi',First Appeared 23/01/82,02/09/1999 00:00,09/10/2012 13:27,DataEase,fishec50
133,1,Solly,David,Pritchard,,10/29/02 00:00:00,1,0,,Solly,,02/09/1999 00:00,11/19/02 16:45:23,DataEase,fishec50
134,2,Ruby,,Potter,,,0,1,,Mrs Potter,,02/09/1999 00:00,09/29/09 16:22:08,DataEase,fishec50
135,4,Anneka,,Rice,,,0,0,,Anneka Rice,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
136,3,Kylie,,Richards,10/26/89 00:00:00,,0,0,,Kylie,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
137,3,Sharon,,Phillips,03/07/1972 00:00,,0,0,,Sharon,,02/09/1999 00:00,01/26/12 15:25:47,DataEase,fishec50
138,1,Norman,,Rodway,,,1,0,,,Mr. Rodway was born in 1917,02/09/1999 00:00,05/16/07 15:42:36,DataEase,fishec50
140,,Jolene,,Perks,,,0,0,,,Her real name is  Doreen. Sid and Jolene were married 04/07/2002- Sid died in 2010,02/09/1999 00:00,03/24/11 10:20:25,DataEase,fishec50
142,2,Lynda,,Snell,05/29/47 00:00:00,,0,0,,Lynda,Married to Robert for 25 years in 2004 married in 1979,02/09/1999 00:00,06/20/07 13:07:07,DataEase,fishec50
143,1,Robert,,Snell,04/05/1943 00:00,,1,0,,Robert,Married to Lynda for 25 years in 2004 = 1979,02/09/1999 00:00,01/28/11 11:06:16,DataEase,fishec50
144,7,Oliver,,Stokes,,,1,0,,Oliver,Oliver was born in 1983,02/09/1999 00:00,04/15/99 10:05:36,DataEase,fishec50
145,2,Sarah,,Stokes,,,0,1,,Sara,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
146,6,Robin,,Stokes,10/12/1954 00:00,,1,0,,Robin,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
147,,Sam,,Stokes,,,1,0,,Sam,Sam was born in 1981,02/09/1999 00:00,04/10/2007 12:41,DataEase,fishec50
148,1,Barry,,Simmonds,,,1,1,,,Grange Spinny,02/09/1999 00:00,01/13/09 11:09:15,DataEase,fishec50
149,2,Emily,,Spenlowe,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
150,,Samantha,,the friend of Susan,,,0,1,,Samantha,A friend of Susan who lives in Penny Hassett  - born 1969,02/09/1999 00:00,04/26/12 14:48:59,DataEase,fishec50
151,1,Jim,,Starling,,,1,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
152,,Stephan,,Works at Grey Gables,,,1,1,,Stephan,,02/09/1999 00:00,04/26/12 14:51:20,DataEase,fishec50
153,3,Rosemary,,Tarrant,08/08/1967 00:00,,0,0,,Rosemary,,02/09/1999 00:00,04/15/99 15:23:25,DataEase,fishec50
154,12,Family Of,,Talbot,,,0,1,,The Talbots,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
155,1,Thorkhil,,Jensen,,,1,0,,Thorkhil,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
156,1,Roger,,Travers-Macy,07/28/44 00:00:00,,1,0,,(Formerly Patillo),,02/09/1999 00:00,09/19/13 11:00:57,DataEase,fishec50
157,5,Matthew,,Thorogood,06/29/53 00:00:00,,1,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
158,1,Wayne,,Tucson,,,1,0,,,Fallon's Dad,02/09/1999 00:00,09/07/2009 16:18,DataEase,fishec50
159,,Miranda,,Tuckworth,,,0,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
160,2,Betty,,Tucker,08/04/1950 00:00,12/16/05 00:00:00,0,0,,Betty,Farmer's daughter from Buxton- Mike and Betty were married in 1972,02/09/1999 00:00,12/06/2005 12:36,DataEase,fishec50
161,3,Brenda,,Tucker,01/21/81 00:00:00,,0,0,,Brenda,Brenda talks  19/8/99,02/09/1999 00:00,10/16/09 10:55:34,DataEase,fishec50
162,1,Adam,,Macy,06/22/67 00:00:00,,1,0,,Adam Macy,Adam and Ianâ€™s wedding day 14/12/06,02/09/1999 00:00,01/24/08 11:05:25,DataEase,fishec50
163,,Mike,,Tucker,12/01/1949 00:00,,1,0,,Mike,Mike married Vicky on 15/7/09,02/09/1999 00:00,09/24/09 16:49:29,DataEase,fishec50
164,,Roy,,Tucker,02/02/1978 00:00,,1,0,,Roy,Roy and Hayely Tucker married 07.5.01,02/09/1999 00:00,12/04/2001 11:19,DataEase,fishec50
165,2,Maisie,,Walker,,,0,0,,Mrs Walker,,02/09/1999 00:00,01/13/04 12:22:14,DataEase,fishec50
167,1,Godfrey,,Wendover,,,1,1,,,Godfrey was born in 1923,02/09/1999 00:00,04/15/99 09:53:16,DataEase,fishec50
168,,Warren,,the boyfriend of Kate,,,1,1,,Warren,Kate's Boyfriend,02/09/1999 00:00,04/26/12 14:51:40,DataEase,fishec50
170,1,Sammy,,Whipple,,,1,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
171,2,Joan,,Whipple,,,0,1,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
172,3,Hazel,,Woolley,02/15/56 00:00:00,,0,0,,Hazel Woolley,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
173,2,Martha,,Woodford,07/31/22 00:00:00,01/17/96 00:00:00,0,0,,Martha,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
174,1,John Benjamin,,Archer,05/27/98 00:00:00,08/02/1972 00:00,1,0,,Ben,Dan's younger brother. Died in 1972,02/09/1999 00:00,12/02/2011 15:09,DataEase,fishec50
175,1,Daniel,,Archer,10/15/96 00:00:00,04/23/86 00:00:00,1,0,,Dan Archer,Dan married Doris 17/12/1921,02/09/1999 00:00,01/03/2008 17:37,DataEase,fishec50
176,2,Doris,,Archer,07/11/2000 00:00,10/27/80 00:00:00,0,0,,Doris,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
177,2,Laura,,Archer,08/29/11 00:00:00,02/14/85 00:00:00,0,0,,Laura,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
178,1,Jack,,Archer,12/17/22 00:00:00,01/12/1972 00:00,1,0,,Jack,"married Peggy 17/7/43 - His name is John always called ""Jack""",02/09/1999 00:00,04/23/10 11:52:19,DataEase,fishec50
179,1,Jess,,Allard,,12/01/1961 00:00,1,0,,Jess,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
180,1,Joe,,Allard,,,1,0,,Joe,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
181,1,Ted,,Arnold,,,1,0,,Ted,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
182,1,Rex,,Allard,,,1,0,,Rex,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
183,,Angus,,the stockman,,,1,1,,Angus,Stockman,02/09/1999 00:00,04/26/12 14:51:55,DataEase,fishec50
184,,Alan,,the consultant,,,1,0,,Alan,,02/09/1999 00:00,04/26/12 14:52:20,DataEase,fishec50
185,,Ernie,,Abbott,,,1,1,,,,02/09/1999 00:00,06/08/2000 10:59,DataEase,fishec50
186,,Alice,,Dyer,,,0,0,,Alice,,02/09/1999 00:00,10/04/2000 15:16,DataEase,fishec50
187,3,Audrey,,Atkins,,,0,0,,Audrey,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
188,1,Amos,,Atkins,,,1,0,,Amos,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
189,,Grace,,Archer,09/28/30 00:00:00,09/22/55 00:00:00,0,0,,Grace,11/4/1955 married Phil Archer,02/09/1999 00:00,09/21/05 14:46:41,DataEase,fishec50
190,1,Harold,,Bagley,,,1,0,,Harold,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
191,1,Max,,Bailey,,,1,0,,Max,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
192,2,Freda,,Banham,,,0,0,,,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
193,1,Badger,,Barratt,,,1,0,,Badger,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
194,2,Betty,,Barratt,,,0,0,,Betty,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
195,1,Fred,,Barratt,,,1,0,,Fred,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
196,1,Ralph,,Bellamy,02/26/25 00:00:00,01/18/80 00:00:00,1,0,,Ralph,Ralph married Lilian 3/9/1971,02/09/1999 00:00,04/09/2013 17:36,DataEase,fishec50
197,17,,,Bellamy,,02/14/64 00:00:00,1,0,,Admiral,,02/09/1999 00:00,05/31/01 17:09:44,DataEase,fishec50
198,1,,,Helston,,,1,0,,Mr Helston,,02/09/1999 00:00,02/09/1999 00:00,DataEase,DataEase
